index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%], pstate, temperature.gpu, power.draw [W]
0, NVIDIA RTX PRO 4000 Blackwell, 2 MiB, 23988 MiB, 0 %, P8, 41, 5.52 W
1, NVIDIA RTX PRO 4000 Blackwell, 2 MiB, 23988 MiB, 0 %, P8, 38, 6.05 W
