index, name, memory.total [MiB], memory.used [MiB], memory.free [MiB], utilization.gpu [%], pstate, temperature.gpu, power.draw [W]
0, NVIDIA RTX PRO 4000 Blackwell, 24467 MiB, 23711 MiB, 279 MiB, 0 %, P8, 43, 5.42 W
1, NVIDIA RTX PRO 4000 Blackwell, 24467 MiB, 23330 MiB, 660 MiB, 0 %, P8, 40, 6.03 W
